1,Captiva,01701TAA,97 7700170,
2,Chevrolet Lacetti,01771FDA,97 7700170,
3,Chevrolet Lacetti,01772FDA,97 7700170,
4,Chevrolet Lacetti,01771JBA,97 7700170,
5,Chevrolet Cobalt,01772JBA,97 7700170,
6,Chevrolet Cobalt,01643XFA,97 7700170,
7,Chevrolet Cobalt,01644XFA,97 7700170,
8,Damas,01828ZCA,97 7700170,
9,Damas,01К249GB,93 3950082,
10,RAVON R2,01Y299CB,99 0707011,
11,SPARK,01G424CB,97 1302423,
12,SPARK,01L969EB,91 1347699,
13,SPARK,01Z836RA,97 4775597,
15,SPARK,10Е230МА,97 4447880,
16,SPARK,01T788SA,94 6535777,
17,SPARK,01G138DB,99 8589792,
18,SPARK,01А614UA,90 1688374,
19,NEXIA 3,01A170CB,97 7174907,
20,NEXIA 3,01Z435AB,90 3209003,
21,NEXIA 3,01F193BB,99 7767007,
22,NEXIA 3,01F841EB,97 7767672,
23,NEXIA 3,01E235GB,91 3449996,
24,NEXIA 3,10L282PA,97 4424235,
25,NEXIA 3,01M855HB,97 7529969,
26,NEXIA 3,01B665GB,90 9603962,
27,LACETTI,01B919RA,93 5672868,
28,LACETTI,01N474BA,97 3339918,
29,LACETTI,01K767DB,97 1578782,
30,LACETTI,01U993CB,90 9830011,
31,LACETTI,01U328PA,97 7260730,
32,LACETTI-GENTRA,01160OHA,90 9229070,
33,GENTRA,01988ZFA,97 4005058,
34,COBALT,01W842NA,93 3982173,
35,COBALT,01T698BB,99 8822257,
36,COBALT,01R401VA,99 8801234,
37,COBALT,01A589GB,-,
38,NEXIA,01L127OA,93 5350333,
39,NEXIA,01N432VA,97 4441432,
40,NEXIA,70С625JA,93 5918467,
41,NEXIA,01X148YA,97 7260730,
42,EPICA,01U718ZA,90 9869922,
43,NEXIA,01B734VA,97 7770105,
44,SPARK,01H841MB,90 3513932,
45,Cobalt,01N933HA,99 630 0626,
46,MATIZ,10H488CA,97 7303338,
47,MATIZ,90Z424JA,94 9240402,
48,CHEVROLET TACUMA,01R350AO,90 3598967,
49,CAPTIVA,01V552SA,90 9208674,
50,HYUNDAI ACCENT,10Y576NA,97 4440184,
51,NISSAN TIIDA,01F198XA,99 8683070,
52,LADA VESTA,01H944AB,99 8982627,
53,ВАЗ 2101,01Х547МА,99 6305510,
54,CHANGAN,01X763FA,97 7513262,
55,SPARK,01T091WA,97 771 0212,
56,SPARK,01V448DB,97 700 02 05,
57,SPARK,01J795JB,94 401 85-88,
58,SPARK,01557BGA,93 564 22 20,
59,SPARK,10J459UA, 99 883-68-83,
60,NEXIA 3,01Y758GB,99 802-72-78,
61,NEXIA CONC,01W046JB,90 950-73-30,
62,SPARK,01A477LB,99 800-15-45,
63,NEXIA 3,10L282PA,97-442-42-35,
64,Cobalt,01Y309MB,90 958-14-19,
65,NEXIA,01F622AB,99 109-91-57,
66,LACETTI-GENTRA,01S907VA,97 344-99-74,
67,SPARK,01A897TA, 93 186-10-10,
68,LACETTI,01A044NB,90 950 73 30,
69,NEXIA DOHC,70C625JA,90 912 46 20,
70,LACETTI,01P225JA,97 708 22 09,
71,SPARK, 01K496NB,90 806 33 86,
72,LACETTI, 30N003VA,93 350 47 77,
73,NEXIA 3,75R611KA,99 829 12 56,
74,Cobalt,01W789NB,97 737 07 91,
75,NEXIA 3,01U930MB,99 843 91 08,
76,NEXIA,80N405QA,90 611 55 05,
77,LACETTI,01F663 VA,97 333 99 18,
78,VAZ 21093,01Q842QA,93 500 56 86,
79,Cobalt,01R250QB,90 061 92 61,
80,Nexia DoHc,01N099TA,99 899 77 75,
81,Nexia 3,01О715GB,90 328 95 94,
82,LACETTI,01Y310MB,97 344 99 74,
83,Cobalt,01C728UB,99 795 51 65,
84,LACETTI,01A817OB,94 699 94 21,
85,Spark,01D287EB,97 455 66 87,
86,MATIZ,01G290TB,91 133 39 47,
87,Spark,01P228LB,97 462 28 09,
88,Gentra,01G718QB,97 7772857,
89,Cobalt,01X783TB,90 964 35 53,
90,Spark,10F943TA,99 875 77 57,
91,Cobalt,01F735BB,99 722 99 08,
92,Cobalt,01A219AB,90 940 89 92,
93,Nexia 3,01O507SA,99 827 33 99,
94,Nexia 3,01X278SB,97 333 46 82,
95,Gentra,01G400RA,99 776 70 07,
